id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,year_released,popularity_score,explicit_content,artist_followers,spotify_streams,radio_friendly
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,2022,87,0,2500,450.5,0.95
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,2021,65,0,1200,120.3,0.45
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,2020,76,1,3100,280.2,0.55
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,2023,72,0,1800,95.7,0.42
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,2024,91,0,4200,612.8,0.92
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,2021,58,0,900,87.4,0.30
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,2018,71,0,1500,156.2,0.78
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,2019,78,0,2500,203.5,0.68
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,2022,73,0,1200,110.1,0.48
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,2020,82,0,2800,235.9,0.88
11,Urban Flow,Jet Black Crew,hip-hop,energetic,0.85,125,0.72,0.81,0.12,2023,85,1,3800,520.3,0.72
12,Neon Maze,Synthetic Dreams,electronic,mysterious,0.68,115,0.45,0.75,0.15,2021,68,0,1600,142.8,0.55
13,Iron Thunder,Chaos Knights,metal,dark,0.94,160,0.32,0.72,0.08,2019,61,1,2200,98.5,0.15
14,Dusty Roads,Whiskey Stones,country,melancholic,0.48,95,0.55,0.48,0.77,2009,52,0,1000,45.2,0.82
15,Island Vibes,Reggae Reef,reggae,peaceful,0.58,88,0.68,0.62,0.65,2017,67,0,1400,132.6,0.75
16,Symphony Dreams,Classical Elegance,classical,nostalgic,0.35,70,0.62,0.28,0.87,1998,48,0,500,28.3,0.35
17,Velvet Soul,Soul Whispers,soul,romantic,0.55,92,0.73,0.67,0.58,2015,69,0,1800,176.4,0.85
18,Broken Strings,Delta Blues,blues,sad,0.42,85,0.52,0.59,0.74,2003,51,0,860,52.1,0.70
19,Disco Fever,Glitter Groove,disco,playful,0.88,128,0.81,0.89,0.14,1978,72,0,1100,67.8,0.98
20,Evening Tales,Wooden Notes,folk,mellow,0.52,96,0.64,0.51,0.81,2010,55,0,1100,58.3,0.88
21,Acoustic Sunset,Stone & Echo,rock,chill,0.55,98,0.68,0.52,0.75,2016,68,0,1900,164.7,0.85
22,Fading Echoes,Silent Strings,rock,relaxed,0.50,85,0.62,0.45,0.82,2008,54,0,950,48.6,0.80
